,原煤,洗精煤,其他洗煤,型煤,焦炭,焦炉煤气,其他煤气,其他焦化产品,原油, 汽油,煤油,柴油,燃料油,其他石油产品,天然气
1,34000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40419000.0,0.0,108099999.99999999,21574000.000000004,0.0,1700000.0000000002
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1349647750.6224773,0.0,0.0,0.0,0.0,0.0,34783269.230769224,0.0,0.0,2021953.4883720935,0.0,26901962.606543846,2944645.340751038,1193263.0564881046,17755031.33393017
7,2058198648.6813202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3344000.000000004,0.0,16151665.658509731,853947.1488178018,511398.45278061635,4318791.405550578
8,788475439.359876,0.0,0.0,0.0,0.0,0.0,6324230.769230767,0.0,0.0,5482604.651162795,119999.9999999997,15207737.145999406,161955.49374130782,0.0,1439597.135183527
9,124138117.3399086,0.0,0.0,0.0,72937.29493255563,0.0,3162115.38461539,0.0,0.0,2274697.6744186026,0.0,8023392.356337644,853947.1488178018,0.0,4798657.117278424
10,2091642251.0696907,0.0,0.0,0.0,24312.431644185162,0.0,6324230.769230767,0.0,0.0,6862976.74418604,60000.00000000003,15679701.402254602,13692600.83449236,681864.6037074884,11036911.36974038
11,133774409.55350901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8856000.0,408279.06976744265,0.0,2779345.0646136915,32980027.816411622,6422994100.773612,2399328.5586392176
12,12348058210.651001,0.0,0.0,0.0,461936.20123951876,11087030.430220362,22134807.692307662,90508978.1021898,0.0,10148651.162790688,2280000.0000000033,43630473.46714329,22909340.75104306,5211320699.985403,181869104.7448523
13,963062380.641574,0.0,0.0,0.0,2564961.538461532,0.0,3162115.38461539,62744.525547445286,0.0,2274697.6744186054,60000.00000000003,79919280.72587301,7597184.979137689,26763185.695518978,73419453.89435987
14,24789078299.127285,0.0,0.0,0.0,792147647.8308427,247162385.4494578,167592115.38461548,12580277.372262785,0.0,836000.0000000012,420000.0000000003,20451784.43772343,7582461.752433941,170466.1509268721,154036893.46463737
15,256212004.73807597,0.0,0.0,0.0,1288558.8771418147,0.0,18972692.30769234,0.0,0.0,7951720.930232563,299999.99999999965,39644997.52543306,2620734.3532684287,3920721.471318052,11036911.369740373
16,626358993.884014,0.0,0.0,0.0,3440209.0776522006,111990.20636586216,1081443461.5384612,0.0,0.0,6921302.325581404,1379999.999999997,44784163.87132248,5079513.212795549,5284450.678733029,25912748.433303535
17,282286677.786642,0.0,0.0,0.0,48624.86328837046,0.0,6324230.769230767,0.0,0.0,3985581.3953488474,60000.00000000003,9072201.814682426,441696.8011126566,2727458.4148299536,2879194.270367057
18,145111223.92245,0.0,0.0,0.0,36468.64746627775,0.0,151781538.461539,0.0,0.0,5424279.069767454,1080000.0,37652259.55457795,4917557.71905424,2045593.8111224654,22073822.739480816
19,315730280.17501897,0.0,0.0,0.0,36468.64746627775,0.0,9486346.153846158,0.0,0.0,4471627.906976743,119999.9999999997,8757558.977178995,1825680.1112656407,852330.7546343604,7197985.675917634
20,251677278.9905,0.0,0.0,0.0,0.0,0.0,3162115.38461539,0.0,0.0,1613674.418604652,60000.00000000003,4876963.981303272,220848.4005563276,0.0,13916105.640107429
21,3401044.31068243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,933209.3023255802,0.0,996368.9854275505,0.0,0.0,0.0
22,81058222.73793119,0.0,0.0,0.0,72937.29493255563,0.0,3162115.38461539,0.0,0.0,933209.3023255824,180000.00000000003,5663571.075061864,706714.881780251,0.0,1439597.135183527
23,144544383.204003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1166511.6279069777,0.0,629285.6750068734,471143.25452016643,0.0,0.0
24,125838639.49525,0.0,0.0,0.0,72937.29493255563,61818593.91395591,455344615.38461566,0.0,0.0,447162.79069767427,0.0,471964.2562551553,0.0,170466.1509268721,479865.71172784176
25,18705743.7087534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213860.46511627894,0.0,157321.41875171813,0.0,0.0,0.0
26,155000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73143000.0,0.0,249570000.0,63650000.0,201000000.0,1870000.0000000002
27,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355023000.00000006,5864580000.0,1896449999.9999998,8817200000.0,232088000.0,11900000.0
28,200000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204363000.0,0.0,716562000.0,0.0,38994000.00000001,47600000.0
29,200000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286065000.00000006,0.0,1467621999.9999998,0.0,773984000.0,108120000.00000001
30,200000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649809000.0,0.0,157732000.0,0.0,223110000.0,205020000.00000003
31,200000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112563000.0,0.0,160740000.00000003,0.0,39262000.00000001,41820000.0
